"name","label","type","fieldType","groupName","createdAt","updatedAt"
"ai_qualification_required_materials","Ai Qualification Required Materials","string","textarea","ai_qualification_insights","2025-10-27T12:34:25.496Z","2025-10-27T12:34:25.496Z"
"consult_closing_question_asked","Consult Closing Question Asked","number","number","consult_metrics","2025-10-25T00:19:42.745Z","2025-10-25T00:19:42.745Z"
"consult_collected_dob_nin_when_agreed","Consult Collected Dob Nin When Agreed","number","number","consult_metrics","2025-10-25T00:19:43.089Z","2025-10-25T00:19:43.089Z"
"consult_confirm_reason_for_zoom","Consult Confirm Reason For Zoom","number","number","consult_metrics","2025-10-25T00:19:39.800Z","2025-10-25T00:19:39.800Z"
"consult_customer_agreed_to_set_up","Consult Customer Agreed To Set Up","number","number","consult_metrics","2025-10-25T00:19:43.762Z","2025-10-25T00:19:43.762Z"
"consult_demo_tax_saving","Consult Demo Tax Saving","number","number","consult_metrics","2025-10-25T00:19:40.130Z","2025-10-25T00:19:40.130Z"
"consult_fee_phrasing_three_seven_five","Consult Fee Phrasing Three Seven Five","number","number","consult_metrics","2025-10-25T00:19:42.395Z","2025-10-25T00:19:42.395Z"
"consult_fees_annualised","Consult Fees Annualised","number","number","consult_metrics","2025-10-25T00:19:42.096Z","2025-10-25T00:19:42.096Z"
"consult_fees_tax_deductible_explained","Consult Fees Tax Deductible Explained","number","number","consult_metrics","2025-10-25T00:19:41.795Z","2025-10-25T00:19:41.795Z"
"consult_interactive_throughout","Consult Interactive Throughout","number","number","consult_metrics","2025-10-25T00:19:45.608Z","2025-10-25T00:19:45.608Z"
"consult_needs_pain_uncovered","Consult Needs Pain Uncovered","number","number","consult_metrics","2025-10-25T00:19:41.106Z","2025-10-25T00:19:41.106Z"
"consult_next_contact_within_5_days","Consult Next Contact Within 5 Days","number","number","consult_metrics","2025-10-25T00:19:44.687Z","2025-10-25T00:19:44.687Z"
"consult_next_step_specific_date_time","Consult Next Step Specific Date Time","number","number","consult_metrics","2025-10-25T00:19:44.072Z","2025-10-25T00:19:44.072Z"
"consult_no_assumptions_evidence_gathered","Consult No Assumptions Evidence Gathered","number","number","consult_metrics","2025-10-25T00:19:40.782Z","2025-10-25T00:19:40.782Z"
"consult_open_question","Consult Open Question","number","number","consult_metrics","2025-10-25T21:39:44.680Z","2025-10-25T21:39:44.680Z"
"consult_overcame_objection_and_closed","Consult Overcame Objection And Closed","number","number","consult_metrics","2025-10-25T00:19:43.447Z","2025-10-25T00:19:43.447Z"
"consult_prospect_asked_next_steps","Consult Prospect Asked Next Steps","number","number","consult_metrics","2025-10-25T00:19:45.297Z","2025-10-25T00:19:45.297Z"
"consult_purpose_clearly_stated","Consult Purpose Clearly Stated","number","number","consult_metrics","2025-10-25T00:19:39.365Z","2025-10-25T00:19:39.365Z"
"consult_quantified_value_roi","Consult Quantified Value Roi","number","number","consult_metrics","2025-10-25T00:19:41.473Z","2025-10-25T00:19:41.473Z"
"consult_rapport_open","Consult Rapport Open","number","number","consult_metrics","2025-10-25T00:19:39.064Z","2025-10-25T00:19:39.064Z"
"consult_score_final","Consultation Score (1–10)","number","number","scores_rollup","2025-10-25T00:19:46.227Z","2025-10-25T00:19:46.227Z"
"consult_specific_tax_estimate_given","Consult Specific Tax Estimate Given","number","number","consult_metrics","2025-10-25T00:19:40.437Z","2025-10-25T00:19:40.437Z"
"consult_strong_buying_signals_detected","Consult Strong Buying Signals Detected","number","number","consult_metrics","2025-10-25T00:19:44.998Z","2025-10-25T00:19:44.998Z"
"hs_all_accessible_team_ids","All teams","enumeration","checkbox","sales_scorecards_information",,
"hs_all_assigned_business_unit_ids","Business units","enumeration","checkbox","sales_scorecards_information",,
"hs_all_owner_ids","All owner IDs","enumeration","checkbox","sales_scorecards_information",,
"hs_all_team_ids","All team IDs","enumeration","checkbox","sales_scorecards_information",,
"hs_created_by_user_id","Created by user ID","number","number","sales_scorecards_information",,
"hs_createdate","Object create date/time","datetime","date","sales_scorecards_information",,
"hs_lastmodifieddate","Object last modified date/time","datetime","date","sales_scorecards_information",,
"hs_merged_object_ids","Merged record IDs","enumeration","checkbox","sales_scorecards_information",,
"hs_object_id","Record ID","number","number","sales_scorecards_information",,
"hs_object_source","Record creation source","string","text","sales_scorecards_information",,
"hs_object_source_detail_1","Record source detail 1","string","text","sales_scorecards_information",,
"hs_object_source_detail_2","Record source detail 2","string","text","sales_scorecards_information",,
"hs_object_source_detail_3","Record source detail 3","string","text","sales_scorecards_information",,
"hs_object_source_id","Record creation source ID","string","text","sales_scorecards_information",,
"hs_object_source_label","Record source","enumeration","select","sales_scorecards_information",,
"hs_object_source_user_id","Record creation source user ID","number","number","sales_scorecards_information",,
"hs_owning_teams","Owning Teams","enumeration","checkbox","sales_scorecards_information",,
"hs_pinned_engagement_id","Pinned Engagement ID","number","number","sales_scorecards_information","2025-09-16T16:31:35.663Z","2025-09-16T16:31:35.663Z"
"hs_read_only","Read only object","bool","booleancheckbox","sales_scorecards_information",,
"hs_shared_team_ids","Shared teams","enumeration","checkbox","sales_scorecards_information",,
"hs_shared_user_ids","Shared users","enumeration","checkbox","sales_scorecards_information",,
"hs_unique_creation_key","Unique creation key","string","text","sales_scorecards_information",,
"hs_updated_by_user_id","Updated by user ID","number","number","sales_scorecards_information",,
"hs_user_ids_of_all_notification_followers","User IDs of all notification followers","enumeration","checkbox","sales_scorecards_information",,
"hs_user_ids_of_all_notification_unfollowers","User IDs of all notification unfollowers","enumeration","checkbox","sales_scorecards_information",,
"hs_user_ids_of_all_owners","User IDs of all owners","enumeration","checkbox","sales_scorecards_information",,
"hs_was_imported","Performed in an import","bool","booleancheckbox","sales_scorecards_information",,
"hubspot_owner_assigneddate","Owner assigned date","datetime","date","sales_scorecards_information",,
"hubspot_owner_id","Owner","enumeration","select","sales_scorecards_information",,
"hubspot_team_id","Owner's main team","enumeration","select","sales_scorecards_information",,
"qual_active_listening","Qual Active Listening","number","number","qual_metrics","2025-10-25T00:19:37.660Z","2025-10-25T00:19:37.660Z"
"qual_benefits_linked_to_needs","Qual Benefits Linked To Needs","number","number","qual_metrics","2025-10-25T00:19:37.337Z","2025-10-25T00:19:37.337Z"
"qual_clear_responses_or_followup","Qual Clear Responses Or Followup","number","number","qual_metrics","2025-10-25T00:19:38.114Z","2025-10-25T00:19:38.114Z"
"qual_commitment_requested","Qual Commitment Requested","number","number","qual_metrics","2025-10-25T00:19:38.757Z","2025-10-25T00:19:38.757Z"
"qual_intro","Qual Intro","number","number","qual_metrics","2025-10-25T00:19:35.464Z","2025-10-25T00:19:35.464Z"
"qual_next_steps_confirmed","Qual Next Steps Confirmed","number","number","qual_metrics","2025-10-25T00:19:38.445Z","2025-10-25T00:19:38.445Z"
"qual_open_question","Qual Open Question","number","number","qual_metrics","2025-10-25T00:19:36.263Z","2025-10-25T00:19:36.263Z"
"qual_rapport","Qual Rapport","number","number","qual_metrics","2025-10-25T00:19:35.888Z","2025-10-25T00:19:35.888Z"
"qual_relevant_pain_identified","Qual Relevant Pain Identified","number","number","qual_metrics","2025-10-25T00:19:36.636Z","2025-10-25T00:19:36.636Z"
"qual_score_final","Qualification Score (1–10)","number","number","scores_rollup","2025-10-25T00:19:45.922Z","2025-10-25T00:19:45.922Z"
"qual_services_explained_clearly","Qual Services Explained Clearly","number","number","qual_metrics","2025-10-25T00:19:36.992Z","2025-10-25T00:19:36.992Z"
"sales_performance_rating_","Sales Performance Rating (1-10)","number","number","sales_scorecards_information","2025-10-25T11:14:47.957Z","2025-10-26T20:26:03.277Z"
"sales_scorecard___what_you_can_improve_on","Sales Scorecard - Summary","string","textarea","sales_scorecards_information","2025-09-16T16:33:01.976Z","2025-09-16T20:21:08.496Z"
